Vertice: ///davam.nele.solda
 - Adjacente: ///sulcar.desfastio.adubar, Distancia: 3.40
 - Adjacente: ///sulcar.desfastio.adubar, Distancia: 3.30
 - Adjacente: ///redor.belo.ligam, Distancia: 4.30
 - Adjacente: ///lesmas.chorar.folga, Distancia: 3.10
 - Adjacente: ///merece.irem.alcancei, Distancia: 3.90
 - Adjacente: ///idosa.fraca.jogamos, Distancia: 0.60
 - Adjacente: ///redor.olhe.atol, Distancia: 2.80
 - Adjacente: ///pediu.flui.bica, Distancia: 1.30
 - Adjacente: ///facial.jogam.chame, Distancia: 2.60
 - Adjacente: ///alpinos.contributivo.cintila, Distancia: 5.90
 - Adjacente: ///davam.nele.solda, Distancia: 1.20
Vertice: ///idosa.fraca.jogamos
 - Adjacente: ///sulcar.desfastio.adubar, Distancia: 3.10
 - Adjacente: ///redor.belo.ligam, Distancia: 4.10
 - Adjacente: ///lesmas.chorar.folga, Distancia: 2.90
 - Adjacente: ///merece.irem.alcancei, Distancia: 3.80
 - Adjacente: ///massas.faixa.selos, Distancia: 0.60
 - Adjacente: ///redor.olhe.atol, Distancia: 2.70
 - Adjacente: ///pediu.flui.bica, Distancia: 2.30
 - Adjacente: ///facial.jogam.chame, Distancia: 2.90
 - Adjacente: ///alpinos.contributivo.cintila, Distancia: 5.80
 - Adjacente: ///davam.nele.solda, Distancia: 1.70
Vertice: ///merece.irem.alcancei
 - Adjacente: ///sulcar.desfastio.adubar, Distancia: 1.60
 - Adjacente: ///redor.belo.ligam, Distancia: 6.90
 - Adjacente: ///lesmas.chorar.folga, Distancia: 1.40
 - Adjacente: ///idosa.fraca.jogamos, Distancia: 3.80
 - Adjacente: ///massas.faixa.selos, Distancia: 3.90
 - Adjacente: ///redor.olhe.atol, Distancia: 3.80
 - Adjacente: ///pediu.flui.bica, Distancia: 3.50
 - Adjacente: ///facial.jogam.chame, Distancia: 0.35
 - Adjacente: ///alpinos.contributivo.cintila, Distancia: 9.30
 - Adjacente: ///davam.nele.solda, Distancia: 3.00
Vertice: ///lesmas.chorar.folga
 - Adjacente: ///sulcar.desfastio.adubar, Distancia: 0.45
 - Adjacente: ///redor.belo.ligam, Distancia: 6.00
 - Adjacente: ///merece.irem.alcancei, Distancia: 1.40
 - Adjacente: ///idosa.fraca.jogamos, Distancia: 2.90
 - Adjacente: ///massas.faixa.selos, Distancia: 3.10
 - Adjacente: ///redor.olhe.atol, Distancia: 2.50
 - Adjacente: ///pediu.flui.bica, Distancia: 4.80
 - Adjacente: ///facial.jogam.chame, Distancia: 1.50
 - Adjacente: ///alpinos.contributivo.cintila, Distancia: 8.50
 - Adjacente: ///davam.nele.solda, Distancia: 3.20
Vertice: ///redor.belo.ligam
 - Adjacente: ///sulcar.desfastio.adubar, Distancia: 7.30
 - Adjacente: ///lesmas.chorar.folga, Distancia: 6.00
 - Adjacente: ///merece.irem.alcancei, Distancia: 6.90
 - Adjacente: ///idosa.fraca.jogamos, Distancia: 4.10
 - Adjacente: ///massas.faixa.selos, Distancia: 4.30
 - Adjacente: ///redor.olhe.atol, Distancia: 4.40
 - Adjacente: ///pediu.flui.bica, Distancia: 6.00
 - Adjacente: ///facial.jogam.chame, Distancia: 6.70
 - Adjacente: ///alpinos.contributivo.cintila, Distancia: 2.40
 - Adjacente: ///davam.nele.solda, Distancia: 5.40
Vertice: ///sulcar.desfastio.adubar
 - Adjacente: ///redor.belo.ligam, Distancia: 7.30
 - Adjacente: ///lesmas.chorar.folga, Distancia: 0.45
 - Adjacente: ///merece.irem.alcancei, Distancia: 1.60
 - Adjacente: ///idosa.fraca.jogamos, Distancia: 3.10
 - Adjacente: ///massas.faixa.selos, Distancia: 3.30
 - Adjacente: ///redor.olhe.atol, Distancia: 3.00
 - Adjacente: ///pediu.flui.bica, Distancia: 5.00
 - Adjacente: ///facial.jogam.chame, Distancia: 1.60
 - Adjacente: ///alpinos.contributivo.cintila, Distancia: 8.40
 - Adjacente: ///davam.nele.solda, Distancia: 3.40
